RESPONSE,Gender,Age group,Educational attainment,Annual income,M_SPENDING,Y_TELCOM,Y_CURRENT,MINS_CALL,H_SCREEN,M_DATA,SATISFACTION,RECOMMEND,QUALITY,NETWORK,PAYMENT,PRICE,REASON,CHURN
R046,Female,18-25,Master's degree,"£20,000-£40,000",2.9,7,5,11,1.5,35,8,8,7,9,1,10,Sometimes the network is unstable,8
R047,Female,26-35,Bachelor's degree,"Above £80,000",,10,10,6,4.5,35,7,7,8,8,1,8,No,7
R048,Male,26-35,Master's degree,"£20,000-£40,000",5.79,15 years,10 years,6,20,15,7,5,7,7,2,7,no,7
R049,Female,36-50,Master's degree,"£20,000-£40,000",1.61,10 years ,10 years ,1,7.5,40,9,9,9,9,1,9,i don't have no ideas about this question,9
R050,Female,36-50,High school diploma,"Under £20,000",5.79,7 years,5 years,1,9.5,40,8,7,9,9,1,8,No,8
R051,Female,18-25,Master's degree,"£40,000-£60,000",$2.50 ,3,1,6,5,15,7,9,8,9,1,5,My finance still depends on my family,5
R052,Female,50+,High school diploma,"Under £20,000",90000 VND,7 years,4 years,1,16,25,9,9,7,8,2,8,Cheap,8
R053,Female,26-35,Master's degree,"£20,000-£40,000",100,9 years,9 years,1,9,45,9,9,10,8,1,8,,8
R054,Female,26-35,Bachelor's degree,"£60,000-£80,000",100000 VND,10,6,16,15.5,35,8,8,7,8,1,7,,8
R055,Female,26-35,Bachelor's degree,"Above £80,000",200000 VND,15,6,144,9.5,30,7,7,8,8,2,9,the quality of service provided by your telecom provider,7
R056,Male,36-50,Bachelor's degree,"£40,000-£60,000",5$,5 years,4 years,1,19,10,7,8,7,6,2,7,no,6
R057,Female,36-50,Master's degree,"£60,000-£80,000",,0.5,1,16,17,25,10,10,10,10,1,10,thank you,10
R058,Female,36-50,Master's degree,"Above £80,000",2$,10,5,1,6,35,8,8,8,8,1,8,No,8
R059,Male,50+,Master's degree,"£40,000-£60,000",,,,6,6,25,8,8,7,6,1,7,,8
R060,Female,36-50,High school diploma,"£40,000-£60,000",10,10,5,11,13.5,25,8,9,8,7,1,10,weak wifi,10
R061,Female,26-35,Master's degree,"£20,000-£40,000",30,3,5,6,5,25,7,7,6,8,1,8,Network ,7
R062,Female,18-25,Master's degree,"£20,000-£40,000",10,8,8,65,7.5,30,8,8,8,10,1,9,,10
R063,Female,26-35,Master's degree,"£20,000-£40,000",£700,4,2,1,14,30,9,10,9,8,1,9,,10
R064,Male,26-35,High school diploma,"£20,000-£40,000",£10,2 years,3 years,6,15,35,9,8,8,8,1,8,,8
R065,Female,26-35,Bachelor's degree,"£20,000-£40,000",£100,5 years ,5 years ,6,20.5,30,8,9,8,8,1,8,No,8
R066,Female,26-35,Master's degree,"£40,000-£60,000",,,,11,17.5,35,,,,,,,,
R067,Male,50+,Master's degree,"£40,000-£60,000",,,,6,8,9,,,,,,,,
R068,Male,26-35,Master's degree,"£60,000-£80,000",,,,16,7.5,40,,,,,,,,
R069,Female,50+,High school diploma,"£40,000-£60,000",100,15,13,16,10.5,10,8,9,8,8,1,8,Ultilities,8
R070,Male,26-35,Bachelor's degree,"£40,000-£60,000",30gp,5.5,2,16,16.5,3,7,4,4,4,1,8,not sure.. because thhe thing i have been using now its good to not think to change,4
R071,Female,36-50,Bachelor's degree,"£40,000-£60,000",5 euros ,10 years,0.5,6,10,10,9,9,8,10,1,9,,9
R072,Female,18-25,Bachelor's degree,"£60,000-£80,000",20,10,2,6,3.5,40,8,8,8,8,2,9,cost,8
R073,Male,26-35,Master's degree,"£40,000-£60,000",2,5,1,40,7.5,25,5,5,5,5,2,6,,5
R074,Female,26-35,Master's degree,"£40,000-£60,000",20£,10 years,4 years,6,13.5,20,7,7,7,7,1,7,Battery,7
R075,Female,26-35,Bachelor's degree,"£60,000-£80,000",,,,6,4.5,30,,,,,,,,
R076,Female,50+,Master's degree,"£20,000-£40,000",17.7,13,13,6,6,15,7,8,7,6,2,6,Price lower,6
R077,Female,36-50,Master's degree,"£20,000-£40,000",20,25,20,6,12.5,40,8,7,7,6,2,7,Like,6
R078,Female,26-35,Bachelor's degree,"£40,000-£60,000",Less than 1gbp,7,3,16,10,30,6,8,9,10,2,7,Speed,9
R079,Female,26-35,Bachelor's degree,"£20,000-£40,000",10,17,10,11,4,35,7,7,7,8,1,7,"Maybe the price, just like i want to change girlfriend. From a naive girl to a single mother, i just want try new things",8
R080,Male,36-50,Master's degree,"£20,000-£40,000",,9,1,6,7,10,5,6,5,7,1,6,,6
R081,Female,26-35,Master's degree,"Under £20,000",,,,16,11,35,,,,,,,,
R082,Female,26-35,Master's degree,"£40,000-£60,000",10,10,0.5,1,16.5,40,3,3,3,3,1,10,slow speed,3
R083,Female,50+,Bachelor's degree,"£20,000-£40,000",12 GBP,1 year,1 year,16,18,20,8,8,9,7,2,9,,8
R084,Female,18-25,Master's degree,"£40,000-£60,000",700,5,3,11,17,40,,,,,1,,,
R085,Female,26-35,Bachelor's degree,"£40,000-£60,000",,,,11,7,40,,,,,,,,
R086,Female,36-50,Master's degree,"£60,000-£80,000",15GBP,2 years,2 years,1,11.5,35,9,8,7,8,2,8,,8
R087,Female,26-35,Master's degree,"£20,000-£40,000",10000,8,5,16,15,10,5,7,7,6,1,6,,6
R088,Female,26-35,Bachelor's degree,"£20,000-£40,000",20,2,2,11,8.5,40,8,9,10,7,1,8,,7
R089,Female,26-35,Bachelor's degree,"£40,000-£60,000",,,,65,15,40,,,,,,,,
R090,Female,18-25,Master's degree,"£20,000-£40,000",30,4,5,16,11.5,15,4,7,8,8,1,5,x,5
R091,Female,26-35,Bachelor's degree,"£20,000-£40,000",2,6,3,11,18,35,,6,6,6,1,6,I don't know,6
R092,Female,18-25,Master's degree,"£60,000-£80,000",,,,11,16,20,,,,,,,,
R093,Female,50+,Master's degree,"£20,000-£40,000",18,17,5,61,18.5,30,5,8,9,9,2,9,0,8
R094,Female,26-35,Master's degree,"£40,000-£60,000",248,4,3,96,2.5,35,4,4,6,6,2,4,,6
R095,Female,26-35,Bachelor's degree,"£60,000-£80,000",10$,5,5,11,8,45,8,8,9,7,1,8,Cost,9
